Block = 3104766,Price = 1.660000
Address,XP
0x30351fcdd8933842d3a43bdfba374cce0cd3e526,10
0x9899eee178726a304009fd48fcc099f9a167953c,5
0xd21895ecac23f5f3e9fa67180ca7e1fec3223140,15
0x739a4b3ddefc42c069565d0668bf29fb5bf7e01e,5
0x6a5f3b0ce00d44ade2286b1131f6a7e196364724,5
0x4a50b2c6da6644f6172053dd6804a178356943b2,5
0x87c1dd79107f8f3df27212115ef5cd55c6d29e6c,5
0xcd4277d47d95eb351dd23bc784fefc070d1c8ebb,5
0x088f40dec117b678eb506acab4bc51588f4d128c,2180
0x54087122d7cad03b42701bbfa0c12c7ee5a84657,5
0x494fb7ce8983c76a7218ea1f1ae2b42009181ef5,5
0x08bc8adf8817bd6a11f5e4a7c41b1bc8bbc60a80,5
0x2b5a0be5940b63de1eddccca7bd977357e2488ed,5
0xf5956e53c0bbbef216cf1050c4dc3d85157906c9,10
0xf4ebdb5d269a1c3a03019aa7874438b0169409f5,5
0xc0fc6fee9df09115378acc845c165135ecf67fa7,15
0x05e5f257bd0b215f79d6968160e764463928ee0e,5
0x832d4ea271cc98ac151a87d5652a4758938ea42f,5
0x1bdc8c7110681f45f2ec23f3c503dc10a94a8394,5
0x88bf17fcaa40f709365e0e9fcd6d6fcfb9be600c,10
0xe33a5f352ff0ade0a2bc14c1985f790cc38864b1,5
0x2e68d262c048c95d7937b8810dcbf25721732545,5
0x75c8871b5b215f2081ea5da5b943cb456a3c9f00,5
0xbc92eecd91a050a6bd414ccd82628945d5d40b7d,5
0x059ae27010ef86c696510b88d8cc5f74bd7b1328,5
0x3345222dad72cc544ab24ade1e25e8eec423f47d,5
0x92e7f7ef57b1335e3704f662bb6b1056a8f03e99,5
0x18df9d747f716785642c213f85ca832f7800dd90,10
0x376f0c7d89cb01d9871256f07d800ae56d687950,5
0xb3eb833853b3d7b4bdad7defb1e869372a2c6767,5
0x0d8dd39a8ffb59e353503311b841769831b2dbda,5
0xc16e0f6e396f192cc38ae90f6a3306fc3c21bcab,25
0x469ce8788f99b45dda2a85807c00d728cd8462a3,5
0x1a1f95d3488b1e4b4634c8fe21ab4712af1ae1f1,2385
0x4e6e7eb18d684f443ace8ce55e3713c3dad7c1b2,275
0xded422fd00f09d4e4fd7fa0936ce160b5e710e6f,15
0x667dfab405540a3c1c7b0a356881bf6c793f08d6,5
0xf39d75f3d04fec658f966b105d5d96b91e426712,5
0x7987811584c27fb03c615f4165e487b6d9945d64,5
0xa5fea82fafd41528295b575ae6f210b21b25f7ef,5
0xaeda4088a73daa95642cda172caa5de181719146,35
0xc18ad66e31a644a3a7d54e475f5f5b4f3f9eba53,85
0x7c99dbc1965713b61cfba461a791abc613f33831,5
0xb207d34a81941bfa3c37fb865d4457988ccb27fa,5
0xb07d3edfa051934b9db4c9cf6c07d836663aadd4,25
0x5c862263a01b05a6aae84840f599844191ab44c2,165
0xd7cf75f74546b6ae6fdfa5396ae7f4778eea3287,120
0x4fabde849f3d23fb952ec868df6ae0eb97961207,10
0x5b2e49adf2775acbe748e18f60366f1c12975973,40
0x0dbe79c259100295f407176d4b6b89f070749bd5,5
0x9f9dc982637b04878d8330629cd3a3c1d110d836,30
0x6a2deafc7f1c75c875c195d295a0cb5ccba903e0,15
0x4e394f16bdf232ededd370ea3887bf510ddc5d15,5
0x43fbe91b33b034f748fe3e9af0e643082399c9b3,5
0x38e9167acec30b15f305e041d9935fee08cc08f5,5
0x2e8f6beb98f6d22a9aa5b78f3ec4abefd800ba19,185
0x2b719de1cb6614bd9dad20c003971348a3fae64c,5
0x0c82e08b1b4e62033d2ac3010eb774b30788b8ff,50
0xb4c2fa40b941ecaafc2b342ea936fda060e1078f,25
0x973d56312b92f446c053849416be13670d05e525,10
0x7b56ab3b96b77f6eb53aefe088e2545b7374c9b8,15
0x9434f1cba75ae4f97a5f0cb1480940e1d0d26f4c,15
0x1960495b596f7cf1bcda10fa0f2c305ad18588de,5
0x0bba9956e4daf62b142228c631af56a59946291a,5
0x85758ebd9c9114405fdf5efc07d26c3bc1991cfa,5
0xae2adf9a0727e69b6f5105d183e684894a75d39a,10
0x7ab307289a5f5b7d30e192e3fca4e68c1fa48b10,2595
0xb1a2b2670227b7e815a850c3f5de8eb1b92be6e7,5
0xf4cc8a6a89cefdbdb515eab3ac7d76c7f32bd61b,15
0xd1cf0ab46b4c853f4f5317ab1c7567a16767b0f5,5
0x1cbcd3b6d623b2b76fe0d65ca59bbe02461ace0f,25
0xb3564caa44abc989fcd997e88f856976d21d68a0,5
0x807ed8405211a02c88b70e5a8ccc7e112a36b212,15
0xf377ca05332552746504ddb8a1fd54f5c0cfe247,10
0x449ddc6231d1af99c966e2922ac70ad878083310,5
0x74eb390c06a7cc1158a0895fb289e5037633e38b,1490
0x14801638723ce8d40a74ef25477a67cf2df0dd7b,25
0x2c8327215b37543ad1e03c5e6cbbfa55c6afa742,5
