Block = 4240469,Price = 0.793386
Address,XP
0x5c2a7a3ad12fc293ad3f72275c0a5ae679a12c7a,296
0xc99f3964b77af2a985978970c1d1fea015d2420f,4
0x1e22998800d4bd48db98200bab1aedfeb67ef606,4
0xcb04fcbd20c9da8108953f4361f597b78330345c,4
0x00446f19566fd3b1291ce83e43fef3be8ae6753b,28
0xe87f0af70169fffbc8a5c11fcb637b3f5bce45fb,32
0xc0dbc44db7d9f07b919932fb9415d11030640931,132
0x8929c8d4f99115988ebaea29d73023484d188101,20
0x4fc3318e7ccbf9ee4e10cdc6383d4cae81460ff4,12
0x90f39dc954dc5e3ba6cd05b7126fc3e695ba6919,68
0x4c00ed47abc0d07d46ca9341fc7c26bf678ae463,56
0xb44d0ded20d3b018ff26a9512c1171d23de632ab,224
0xfe91f9b32f7891c0eea112043dda9f1dafb0aa8f,12
0x87bd379f53e2e42bccc7d4d0622ff6a1c17605da,12
0xca6868f11a099295fe7f3bdd705d2d7a1c2214b7,20
0xa16e3aadd14dc380d3f8e3c32b6314d08df8e989,32
0x6c35d2a2132cbc04e7329bb647252ce41fd44bcd,4
0xf631f45e0786a1f3e074fa1063de48d001dbaa9a,8
0x4e9f5aa62c28f40bd772fbf7826a0595ec2dbad0,4
0x8d106c747cd21272d4c9ff0af8d53a9c9aca25d2,32
0x5f64e6ae87c8a35d57f045129f1c90b2aad4d9a6,4
0x3893253505f608f7f64c083513c5a50bf0da17c1,36
0xa8cc3f0f9630864b4482ff3e1dbda71a0aaec577,12
0x6b0d8e6bc3d4866cd56c13d5642d60cb411a0d18,40
0x0d72f7b5779ebc83e4ef6b20ea04a90a60db651b,8
0x1a25d2e22289d4d49a98b9e5b4ed7383b106f746,16
0x8b5b2adcb0a622bc1b08223c5d6640aa556d8808,4
0xae69116e4aa49645f78c1fc9f28f677aede0d153,4
0x2a64b380aced9c0d968ad83c4afc48ede66b570c,4
0x473dff3f18d2b44e98129b7b1ef6f5a7d28b5270,348
0x6f1919ba86af5ea6dd2509a5d78bd464605d8566,68
0xeafa7fcbcc347386c115eb1ac0f68e0aa0d67a22,16
0x32cb9fd13af7635cc90d0713a80188b366a28205,4
0x67775a30ae470e2cb0854395f1f69401ac4c04c1,60
0x973d56312b92f446c053849416be13670d05e525,8
0x2e8f6beb98f6d22a9aa5b78f3ec4abefd800ba19,36
0x33c683563071e2234ad0b4ff27e8d684623cab6d,8
0xb9b9dffb30ab79555d9fd29e19585b680c86ca84,64
0x1d67b326586a9b1bd46793921c785258eff48ac8,8
0x09d573f02b01e81fbe2587d450ea3fc2e4f524ea,4
0x2bd326bed7cdced1806d473b208d0ba77d45d868,4
0xd781ba948190d14c14c3153ad77ef6299ac6e292,8
0xc4eccc9bc67d0ba4ea6b59afbec2d04591166d5f,36
0x503c12725f2db812dbddb476aff1f20cec0861c5,68
0xa27a30aa647f9ecacda7c14e0f0b490e0bd9d63f,4
0xf87c56ebe182ac6866c5168fb24e1beea1ffaa63,112
0xa92a340b21b2a913d5d47b651b45560f9d954eb4,36
0xfbd08fd2b2c7148b4e38624158c3155b5b49f886,76
0x6f8949bd9379944c2b48fe775e2b422015a39150,52
0xb25c6f79a3ca7d11274d42dd75d89eed9f30acaf,8
0x9f548b07860eebce766d40200575cfdda2cc8d72,4
0xec66b606c6df9a7277b68f90c74bd7c64255d86f,76
0x0b743d5cb4ea6ad4ce1feb376986d5ee8ea2c52e,44
0xdbc43ee13c8f1b655b3e96e260dec84b83f73e4c,12
0x257d74fc229f91de6285a4c7bdd6d5004de9aa31,52
0x59b56456ca2272907505ba3c65403bfbb05c8b9d,80
0xc1e475c360f9cf655b066171f70e72ea494e6b22,36
0x3273dc17fecb1e8e7e7276bf936364af9af88c2d,4
0x497c962a39f7f028ff69f5564eb4f3067f1a3a3c,12
0x29b85b666a45a50c358fe5e43fbbc9ff1ba792e1,4
0x4cd8b8ae3f537181982494e405a74637dc2244a4,4
0x583fa600bb7a332d6cedfebd9750b28e8a4ee7e3,140
0xf79c58df9730a9e092da91f2788c40bc7ce106a9,44
0x6eca18a7ad9d2df02d84ca61f65e410d63f3e616,36
0x8eb119061ba055ab18a2cfeb7c080acd6cb64892,8
0x2d1258fceacaf33d3da0d2a017525ad468917125,4
0xb8c511dc5d5ab1fc51fa7a4b521f0f3da0746c28,4
0x64af5b563c10a8a96e552d9c50cef18f00d244bf,4
0xdc9528e73f770c93ed7895a2928d52ea1d18e1a7,4
0x3d23c0281e64f6870c62e14a1e9f72452d4191cf,8
0xdc350f411c1b710ebbfcfeb5aaa19157928cd0d8,712
0xe079d398a178a790096e9afe81436007e6291977,36
0x4a511876050a5e91faf8621b0167614f0fb39d7c,20
0xeb3fb15eb53835df5f3388580fa81e6f848e2b13,36
0x4bb300febe9ebe70c80058e3c14d1c458d7658b0,96
0x8b28fe7b8629af4d268da42bf8058de875c6284d,16
0x723a62f5d9afbc423615f81d1e21342669f0e0e0,20
0x094e59706d52e2f95a57e7d399871522a4037923,8
0x53120b12b3d2fbbf6af3e00297f2c2573d84f599,148
0xd21895ecac23f5f3e9fa67180ca7e1fec3223140,4
0x3c30765cae26cc563411e08f3084387bdd557e74,4
0xbcaa74f9ac5f33d7e5a04edbb5aaf223195b1e81,4
0x6d76bef8d6ea81ea4cee5cae1bb4cc4452a078a4,3480
0x71243ce01d5290619b0bec3bd0be2f312e83359b,4
0x4f1451fb79be3f5475169c2aa5839eb8faf8857b,44
0x91857e7b0d44cc965156d915a275d3bc3db9539b,8
0x72e235b98389e6b7cee38ef6140f9dddc2163806,52
0xe9f2489be66feff1892ccbe95ad1dbda15733538,24
0xf3d7619f44357349cc67b3293c967789f0c11ca3,32
0x5474a93c5b263aeb095cb283785e75fce39e2e9a,16
0x908eea6ac3816466f46957cba1e46da54de82706,56
0x2862ddf66ecebb9222f363fe96e822a43aba335d,4
0xba93413a87fb5ce95801c2ad0f2c9a8486dcf24e,4
0x633e726249055346bece81214d49d1f1f64cb233,124
0x97e51dbcd71a7389a358bebf801a154d0e21ba9b,12
0xe836ea65179559e35d5957e679f1ad26fb075c47,4
0x413cd151de6fc108406feb53b94ee91ba7575736,8
0x27cd783b61942fcb16ed50c64380d437c7d86b03,8
0xab6d96eb0fc995de2f2b0402d8d30f6383fa1db0,84
0x479c231019dd7be36e198b91cd2631e7768aee50,472
0xb676a60eab95befd38e5a9e23575fd09999a69c6,4
0x0f9555f3d840f34a49f4b7393b4d01be719c88a8,4
0x7565647a8553468008cef339e94cf00f080457a7,56
0x29a687b240237c27cf1d1cc6ad8fe8d9bfd7c42d,28
0x815b6a9e13de7d98eae2b2a114115d346383d504,4
0x28f8a2bfe15b56e32d9b769e2e92c87998ccd3bc,108
0x653ad60db5f5236bc638e1daef879d0c89fa99b3,40
0xcb6ee005a3a65eccd270aecf0c42d16e3713c4a5,28
0xde8e5b8dd62861703f5e1376d82c67508d015508,36
0xe5c853441f1336ce456bfb2cc459cdaf6531c2f1,4
0xe06c3900a369b55a1e3fa93b832a08d3f4c9dafb,16
0xb3537919f8b4bca79ac0e7df8b5f254f4f88bc37,4
0x8aeb8594d49f071856b83a0d2e0fe6ff4ccf00cf,84
0xb84cff7f9582fb4de4b01ea534146a24ed461857,204
0x40402871c5bfe08eb2f5cb8b3f022b7f2a31e46d,1060
0x8ab68841c60b956687c8e07765657d848f083a1f,72
0xd652e226630103aabc9c48eb2881fa37c99d2c53,28
0x83df0a0323512ef36c83f17b9142b7ef2467ac0f,148
0x63f13e1431650f730f8c5e063ac2954dbacf44ef,20
0x7444706f5bde57ad505c43af95a99e9d4b063083,32
0x1c6102105fe3d6a6f7a2e99b1573c98484aa5c16,36
0xfe8a14b191fcee29abe0050839f4de4333962353,4
0x88bf17fcaa40f709365e0e9fcd6d6fcfb9be600c,28
0x728684c29e97dc4346891ec8e2962fa2c4b56b0b,4
0xdf816589e9098136c7a9377230fbd2702d0a4f42,4
0x4f1fdb46d6b90b33896c79d390cc348ec8b73b39,36
0x77d197e2df8973c70ccba5d99c2df36cb10d5a2c,16
0x39bda5095ed65f1ad5b9d6ece617ca0ec09f6c33,4
0xc846b7d5ad79060758f9ed2fe6ba5dd68d00c00f,12
0x32eccc9577ca805667ab8a0f69d60d5e73d7edcd,96
0x21093947278aec469f300a7e4515999316885783,32
0x0cb63719d7fbb807f82423ca42cc3506a5aedc10,12
0x979030e6883454f3dff091708717f64e89a81e78,60
0x24af57fcc2873e6d2f41171d4a40c2ca04491566,56
0x1ba350e56f152309a37a5eca77c1ddc602f0d3a5,100
0xea319dcc7db4f421e43120f28b64ea530430c199,484
0xe91f26a8ba33e9cb1271c3b6bb1b164b598899c1,260
0x73b6a7a6e39a2e405087164d7f407a0bd2c86dcc,4
0x77f92039f461e4056e6b79ed80254b563b4812b9,8
0x5cc84b2910eb23551abb9da058af67a9c2abb440,24
0x1c70537a6e179752a4c6280d14891824897b425e,4
0x3f0f4263d475abb64e7bf9e38371ed54806ea9d2,44
0x82fabeb88312f3c56c4ea7e7cf7a8550ac94f8a3,24
0x23e836e74198b11dfe646890676c0717641af5e0,20
0xb3623d62ff30fadb5b2e127c07cab0d1b0808276,12
0xe662b62c673b3b346894fce18748513248396ce9,124
0x1fe5844315ba92e86eb64c8317cdb2f11c8fe544,8
0x1ef83422fe1ce221277536da041601a4a6a3fde5,224
0x22fda97e71ebe36fa494dd0aef462d4a33f7a702,28
0x81c35ac5d1699884fe88a7812c6c8e4423d03d74,32
0xd265c6f6ca55a020fb65d033fefed9d969158da6,208
0xa1f0e9908fbfc85fd76b9f84d44ac2f157c0cb96,12
0x5a01d566bdec952efec489c16c36611da26eb0fa,4
