Block = 3813383,Price = 0.936301
Address,XP
0xcb04fcbd20c9da8108953f4361f597b78330345c,4
0xf79c58df9730a9e092da91f2788c40bc7ce106a9,48
0x63f13e1431650f730f8c5e063ac2954dbacf44ef,20
0x723a62f5d9afbc423615f81d1e21342669f0e0e0,24
0x8b5b2adcb0a622bc1b08223c5d6640aa556d8808,8
0xdc350f411c1b710ebbfcfeb5aaa19157928cd0d8,468
0x66c1b756a03e172416d30ab94a703c739a1adac7,88
0xb1bc409c15c19b70dc9df761a7398386e01fc514,256
0xb25c6f79a3ca7d11274d42dd75d89eed9f30acaf,8
0xca6868f11a099295fe7f3bdd705d2d7a1c2214b7,20
0x2d1258fceacaf33d3da0d2a017525ad468917125,4
0x6c35d2a2132cbc04e7329bb647252ce41fd44bcd,8
0x90f39dc954dc5e3ba6cd05b7126fc3e695ba6919,76
0x503c12725f2db812dbddb476aff1f20cec0861c5,80
0xe06c3900a369b55a1e3fa93b832a08d3f4c9dafb,16
0xeafa7fcbcc347386c115eb1ac0f68e0aa0d67a22,16
0x29b85b666a45a50c358fe5e43fbbc9ff1ba792e1,8
0x3273dc17fecb1e8e7e7276bf936364af9af88c2d,4
0xc1e475c360f9cf655b066171f70e72ea494e6b22,44
0x7edd0d7532ad40bb85d891c2e7201d656029060f,4
0x4f1fdb46d6b90b33896c79d390cc348ec8b73b39,44
0x1ef83422fe1ce221277536da041601a4a6a3fde5,260
0xd652e226630103aabc9c48eb2881fa37c99d2c53,36
0x5f64e6ae87c8a35d57f045129f1c90b2aad4d9a6,8
0xa25207bb8f8ec2423e2ddf2686a0cd2048352f3e,32
0x1d67b326586a9b1bd46793921c785258eff48ac8,12
0x2bd326bed7cdced1806d473b208d0ba77d45d868,4
0x5c2a7a3ad12fc293ad3f72275c0a5ae679a12c7a,340
0xa514877401b19d76a6e7d689ccf5b27a8bb91d5a,4
0x97e51dbcd71a7389a358bebf801a154d0e21ba9b,12
0x59b56456ca2272907505ba3c65403bfbb05c8b9d,88
0x5474a93c5b263aeb095cb283785e75fce39e2e9a,20
0xbcaa74f9ac5f33d7e5a04edbb5aaf223195b1e81,8
0x0c82e08b1b4e62033d2ac3010eb774b30788b8ff,8
0x21bda4245321824aba3b4738697b82a7bc25ff08,112
0x4ecf18b838e9af3451c3e0f6b45becbe95a9794d,8
0xf5cf5ce27381f4b0785c8ee6b03ef13915dae3c7,8
0x8fa53c7223a727b46cd18c5df0b373777e7ac399,4
0xab7de8b37fe444226a4656285415de56ae9b9819,4
0xa16e3aadd14dc380d3f8e3c32b6314d08df8e989,36
0x13108ab5c6eb7efdcd7ba6f8cc55d265eae6176f,104
0xba93413a87fb5ce95801c2ad0f2c9a8486dcf24e,4
0x4dcbb641b20917ca46ecf7201b16fcb05721f0f8,4
0x815b6a9e13de7d98eae2b2a114115d346383d504,4
0x2bcd8898a678050efa5f41f4c6012045dee1b5c3,36
0x408570441054b712a9f8b4c96101915c75e3f044,120
0xfe8a14b191fcee29abe0050839f4de4333962353,8
0x71243ce01d5290619b0bec3bd0be2f312e83359b,4
0xc9372f498ab433058e5bce0d42977e4eabcc3fd4,16
0x72e235b98389e6b7cee38ef6140f9dddc2163806,60
0x829e700d8b49e467d63197a9ce6021ffe82fc24f,12
0x908eea6ac3816466f46957cba1e46da54de82706,44
0xd781ba948190d14c14c3153ad77ef6299ac6e292,8
0x4bb300febe9ebe70c80058e3c14d1c458d7658b0,112
0x6d76bef8d6ea81ea4cee5cae1bb4cc4452a078a4,4000
0xeb3fb15eb53835df5f3388580fa81e6f848e2b13,40
0x4e9f5aa62c28f40bd772fbf7826a0595ec2dbad0,4
0x0e16a7c5d6b759eb32792093c1099b3e9904e1f2,8
0xec66b606c6df9a7277b68f90c74bd7c64255d86f,160
0xe662b62c673b3b346894fce18748513248396ce9,144
0xc4eccc9bc67d0ba4ea6b59afbec2d04591166d5f,40
0x4fc3318e7ccbf9ee4e10cdc6383d4cae81460ff4,16
0xe9f2489be66feff1892ccbe95ad1dbda15733538,28
0x4a511876050a5e91faf8621b0167614f0fb39d7c,24
0x8ab68841c60b956687c8e07765657d848f083a1f,80
0x359f83199f49ecb9181c3e77681fd390e4515b32,8
0x633e726249055346bece81214d49d1f1f64cb233,84
0x8008c76d9d9484b6af5d53b7426b1c84a63dbfe4,20
0x5ed1df0016d7f91c4b4a9b4cb085bd23e8a7c85a,4
0x8eb119061ba055ab18a2cfeb7c080acd6cb64892,8
0x32f6ca5bfa09b8b30538e51ce258c591eecae6a9,64
0xa92a340b21b2a913d5d47b651b45560f9d954eb4,76
0x6b0d8e6bc3d4866cd56c13d5642d60cb411a0d18,44
0x2e8f6beb98f6d22a9aa5b78f3ec4abefd800ba19,40
0x2e2768add2b89380c45e9852846ed16275b48200,4
0x8c7230005afa83d2b8507f55aad64b04437152ef,4
0x62050a8ff39250a6b6e35938a2537524fcaacd58,136
0x32cb9fd13af7635cc90d0713a80188b366a28205,4
0x1812485423ec9e0e5c1a70518f09aa6d01d87aef,4
0x76f3bf8dcc0b177d13a337c15217c7e1c87174f1,4
0x979030e6883454f3dff091708717f64e89a81e78,72
0x4c00ed47abc0d07d46ca9341fc7c26bf678ae463,64
0x653ad60db5f5236bc638e1daef879d0c89fa99b3,48
0xb8c511dc5d5ab1fc51fa7a4b521f0f3da0746c28,4
0xf3d7619f44357349cc67b3293c967789f0c11ca3,40
0x479c231019dd7be36e198b91cd2631e7768aee50,540
