Block = 1681084,Price = 3.110000
Address,XP
0xd652e226630103aabc9c48eb2881fa37c99d2c53,75
0x88fa715fcd97f453095bf7f1ce7985d80fd41c9d,15
0x22723cc5ae5a1b4514ca41f2466e2ade15cf529b,30
0xbe9911638aa84608c900209f0caafa006887c961,15
0x8011680d8e3b2fbdd7a552006eab30569b20d0bb,35
0x1ae08d695ad3e2e29902fda7391d53326112a28f,15
0xf8ec019924ef9ba253371ce229728c752ee1668d,60
0x6abec0c4ac2fbb24f2dbc041cb397ac1b2c088e0,160
0x497c962a39f7f028ff69f5564eb4f3067f1a3a3c,65
0x2bd326bed7cdced1806d473b208d0ba77d45d868,5
0xa6a4231b9748e179fb9909dc2e4402f5f2b20f42,10
0x168684114d10f4b52f4c5ad85e0824b0968b2b14,3005
0x8096618e84c926eb035da2f42e675e92baa69272,155
0x894f1fdf83c322a6b35afde5f2942ebeb670ed30,295
0xd88fed07219ba97abaa81f6e08376f90a4b20223,120
0xc0190dfac63dc7cbda1446295b66f5c09a96c7a4,250
0x38af1a86fa9427e455bf5ca3f0674d607bf61fbc,125
0xd6bb65fffa6918a2e3154f1b67457cd720d754d1,15
0x21bda4245321824aba3b4738697b82a7bc25ff08,400
0xe31538493b100c50546459bbe8f9ff464440b08a,15
0xc544ec14a78dd10c841aeeab9bf1ae173c6e369e,10
0xc6ff1e80683cac1a497228871953ccab90fa3bdf,245
0x38e9167acec30b15f305e041d9935fee08cc08f5,15
0x34918dd502b5895580778d870589f971934395d8,155
0x71f9bdfe92bb66b90e2005e56e8edc7ba4d721d2,10
0xf614ddc260c8e72efd5aec92e3a4e3ecc4c2a116,25
0xd39ec0556b27bea894718c981470a15724278585,280
0xebf6fe7679b2050e24cab1bdfc61b9e74ab9e09d,35
0x634ceaa5abf564a6eaddb1e9966a7f2932f27319,80
0xe7ecd2422982b6fe20966b947c3bf5c1a789f78a,80
0x2b44d9764fbbd2b07fbc48212aee4da331806062,315
0x5f64e6ae87c8a35d57f045129f1c90b2aad4d9a6,540
0xbe3ed4665826df688274bf9d2100da298ad756cc,10
0x7798ba9512b5a684c12e31518923ea4221a41fb9,80
0x4127d8fa1867d829c48da4ad93506fbaac44d564,30
0xaae7bf761972203f883005d9f23fe91b641fcf5d,30
0xfbd08fd2b2c7148b4e38624158c3155b5b49f886,320
0xf175846de880d076204156997f30e2ba24247890,370
0xc99f3964b77af2a985978970c1d1fea015d2420f,1435
0x0d95918633826b963920a10c6ed9db4b2a7420e3,825
0x3432d7e95444f85fc92d91d9377276e9dd2e770a,10
0xae69116e4aa49645f78c1fc9f28f677aede0d153,90
0x59fe8ddfd894f0d8b041f18c49848d861005013f,90
0x1f452f2beea8c1105cd5363b18a0995367a87d97,10
0x400777c21bf9abf52cc556186ee1c35ebf9dbc51,50
0xd8cc4d61908a06836cfae0b2c8376f3b38b5adb5,15
0x56ddcbc09713d2ba8dff06ec008cbecf4b702bfb,60
0x0bddf4e169c35b77186c6ce1c987408689c4634d,30
0x1105ed9a0ef92cb38bfe604778bb65179d10e012,1180
0x8a1c05b50e354364b2f40bcc979ed5507df8b2c0,10
0x597329dea3bc52d19092b8b093cc8d2f4d790d13,5
0xf0596a979c6c7fd02a218b7d71b3351fcf9c2189,10
0xcb05ddf09a71162970be6fac7b82e52cf1097cff,25
0x551ccfb52b9bf9e6ab8fe3c8bb327fc93114a7ea,65
0x10f3677c57a13fae8b3b1d4eee4228248ab081c1,170
0x078ca0b8b10891887c4c8f1bc064f766565a9787,50
0x2c2fa8a0b0aa01169d1f7e2dc70829572c263d58,95
0x2b38ae873456cfd942b23e6a346cb4e12c3e4072,35
0x70d34a109df594a3ac74d31b586f6c22673f092a,55
0xbdac6532be38db1d48640d46c3011df6d4c099ec,10
0xd1cf0ab46b4c853f4f5317ab1c7567a16767b0f5,25
0x42d30b86fc815dd6e05e0dee8c3b2f7fc0035af5,225
0x1c17d5fef0e5a4e79c63163c43d3f07d7a156742,30
0x94b926c32d1f20600d611fd9251e87014543b2c9,10
0x347240187958635055a3cdbba56d68589aec7f51,545
0x5b977ce6ae6de2947d32ebd3ec1ee7f57e30a82f,285
0x42f6ee50d594ed404772cf55d801874e1ed7b88c,70
0x04672345b74370a30963efd91f466eda618dadbd,1340
0x86338bb91bf39a95fc1a23834941dafd53b8cd06,145
