Block = 1574848,Price = 3.720000
Address,XP
0xa4dcc30088e818ff68f67a1971b2206a623da488,15
0xd85df04c47d6072e84a2f5758d7fdca662da5cce,50
0x4f1fdb46d6b90b33896c79d390cc348ec8b73b39,185
0x849f60784b250caaf089a89a938f81218cdc0584,10
0x4eac347972ffe15c7d061906c14650fe8e60bb79,10
0x8c2d749a31577e904bc3b668bc6b09eaeef26301,45
0xa3d283336917a0322345b0cf132980d048daeabf,20
0xcb04fcbd20c9da8108953f4361f597b78330345c,25
0x29a687b240237c27cf1d1cc6ad8fe8d9bfd7c42d,15
0x87bd379f53e2e42bccc7d4d0622ff6a1c17605da,65
0x8ab68841c60b956687c8e07765657d848f083a1f,350
0x0d95918633826b963920a10c6ed9db4b2a7420e3,160
0xdc9528e73f770c93ed7895a2928d52ea1d18e1a7,225
0x53120b12b3d2fbbf6af3e00297f2c2573d84f599,75
0x2e68d262c048c95d7937b8810dcbf25721732545,10
0xf0e9102c112c8fa3e3c6a93f3a7475d10fea5957,35
0xeafa7fcbcc347386c115eb1ac0f68e0aa0d67a22,75
0xba93413a87fb5ce95801c2ad0f2c9a8486dcf24e,25
0xc26308b49f7cd54be1eafa3da68db45b56786307,15
0x71b8111517a74af2954ea81089675a5e01f7e261,5
0x77f92039f461e4056e6b79ed80254b563b4812b9,30
0x634ceaa5abf564a6eaddb1e9966a7f2932f27319,95
0x7b968dd081e6d11b850c9f841337a77a13b10e66,185
0x022a427aabfa272aafed7599147ff5d887ee9403,5
0x3e00aee52066ee270f8badf0b5bb41993f057321,35
0x479c231019dd7be36e198b91cd2631e7768aee50,1315
0xc1c16daa953a36bece0d3b908110dbfdbcdf7a6b,40
0x38af1a86fa9427e455bf5ca3f0674d607bf61fbc,35
0x2b38ae873456cfd942b23e6a346cb4e12c3e4072,20
0x21093947278aec469f300a7e4515999316885783,25
0x317854d799bf228f22ae1af441f0e3cededcebae,615
0x9319c0c272ed1f03a30ae9aa6e3f68ed01dc234c,45
0xd652ef4b8ca92142a443e34b7859c6d822be2ef0,110
0xf4ebdb5d269a1c3a03019aa7874438b0169409f5,15
0xb80463fbd5eeb52d7dd27af39655aab92c84a92d,15
0x21dbbfa9d4e3f69a0173f76b7e24808e176a5482,35
0x8b3f0b796644842986c41784c39864bd11d34caf,110
0x67775a30ae470e2cb0854395f1f69401ac4c04c1,145
0x09ecf5637e6ac1cc887350922f616e3d03ec1c06,105
0xa27a30aa647f9ecacda7c14e0f0b490e0bd9d63f,10
0x9dc636a7eaec067310c1c84308e144ef586f3357,20
0xec66b606c6df9a7277b68f90c74bd7c64255d86f,15
0x2d1258fceacaf33d3da0d2a017525ad468917125,20
0xa6b82bafb79ccf2d11c204ac4696535926b1c816,185
0xc62f6df9fcac85760d748536a81018d49b3ac525,5
0x583fa600bb7a332d6cedfebd9750b28e8a4ee7e3,275
0x04672345b74370a30963efd91f466eda618dadbd,315
0x42f6ee50d594ed404772cf55d801874e1ed7b88c,1020
0x34918dd502b5895580778d870589f971934395d8,185
0xac4c4ee52bfc5bf0c78f5532b4e6d3f012a2ea89,30
0x894f1fdf83c322a6b35afde5f2942ebeb670ed30,945
0x4f01bb4ac46c3a71467a271958f3baae40602133,110
0x7730dd55ebbebab7f5e782dfce4f9e48db351c98,10
0xdaf50e499dcaff47f284833920c02cde439b6e4f,120
0x29b85b666a45a50c358fe5e43fbbc9ff1ba792e1,35
0x71243ce01d5290619b0bec3bd0be2f312e83359b,15
0x6abec0c4ac2fbb24f2dbc041cb397ac1b2c088e0,125
0x1ae08d695ad3e2e29902fda7391d53326112a28f,90
0x3e21de733cc76e694883f37f7f25c72f5a4d4c81,1475
0x7fa6d3944fefcd7f567d960c2150e351825113ef,20
0xc4eccc9bc67d0ba4ea6b59afbec2d04591166d5f,30
0x8f8ec22a2e02dba8d765d2ef537345f0dc5a9a5a,35
