Block = 69362297,Price = 0.006465
Address,XP
0x106166834496776c11b2130bcec76e58db809bc1,192
0xdc0fbbfe60295439bad1ba35ace4b82071ccec06,4
0xd38ff18a133540c0b2be920c09e15a925dda5738,12
0x3a0ab87652c92d9ef6cd52ce46880cbacbc52d34,32
0xf611416a47351f335b1370d520d82942f0091b11,8
0x88bf17fcaa40f709365e0e9fcd6d6fcfb9be600c,4
0xa13a574db9440b4366dcdab06b5cb573fe29855a,20
0xa027751946f97dd7847c5a75fa4677e5eb3ebcca,4
0xfddfdafd3ce3151e90623873cb3d738c5e79e500,8
0xec55f33e0b07ac51ab4803cdeeffd22976eede39,24
0xf9dabe3d043208d70a9918f1b673abb16aac9b86,4
0x5503e1185c486c327b999b094b151474c1b9bb1f,8
0x2e760714ee99897950df45da3344ec9feca8357d,308
0x0fe07c1b7dab02295538502128f80b840d060b65,8
0x0fdbea83e1a348317bfd31b44fa37d8f1198896b,4
0x90f39dc954dc5e3ba6cd05b7126fc3e695ba6919,48
0x23d2c6025cedf8d5775f12d4ef7fb12761924e3f,112
0xdff4425b58946c0ab4c03fb1a7cc26c50fd4bf84,400
