Block = 1524585,Price = 2.900000
Address,XP
0xf0bf51330309c6d75370e06e91ff8cbe71e688cd,360
0xab9cde6b97fc31278fe1e496bcc96c157692c17f,50
0xd1cf0ab46b4c853f4f5317ab1c7567a16767b0f5,25
0x168684114d10f4b52f4c5ad85e0824b0968b2b14,1610
0x8a1c05b50e354364b2f40bcc979ed5507df8b2c0,15
0x27a0581ee2075eaa2514a26fbcbfbd9e02dfd2f0,5
0x890aaeb3626404826e414b8d43efbe80d47b887c,420
0xaae7bf761972203f883005d9f23fe91b641fcf5d,25
0xcbd075bbc9da4a10db90a5e1148b1528eecae497,110
0xfc120ad0e86bfc04007adef2b438e0463082056a,1330
0x38af1a86fa9427e455bf5ca3f0674d607bf61fbc,115
0x275ce8ef00c5c77c9f9111385bcdaed24edd2669,5
0xaba6bd4f2c50c706bf026538a66eed32dc927a42,1330
0xc6ff1e80683cac1a497228871953ccab90fa3bdf,225
0xd652ef4b8ca92142a443e34b7859c6d822be2ef0,405
0xfad4bf41ce2783e492866e4940507a10f3c63073,75
0xb4609b8a15a3e7e61bd864da00b5d9d170d7a514,25
0xf8ec019924ef9ba253371ce229728c752ee1668d,55
0x33d9a951e0be20247e10e5bb250aaaa8f1cebc2d,395
0x8439a3b6ed9cf3771ba4b91c2812316a209ec194,40
0x0d95918633826b963920a10c6ed9db4b2a7420e3,660
0x22723cc5ae5a1b4514ca41f2466e2ade15cf529b,25
0xbe3ed4665826df688274bf9d2100da298ad756cc,10
0xc0190dfac63dc7cbda1446295b66f5c09a96c7a4,230
0xcb05ddf09a71162970be6fac7b82e52cf1097cff,15
0x21bda4245321824aba3b4738697b82a7bc25ff08,315
0x21dbbfa9d4e3f69a0173f76b7e24808e176a5482,25
0xa6a4231b9748e179fb9909dc2e4402f5f2b20f42,10
0x7798ba9512b5a684c12e31518923ea4221a41fb9,75
0xac4c4ee52bfc5bf0c78f5532b4e6d3f012a2ea89,5
0x1defcd0ca309c1a588aa35a5dae84991a3e98a7a,70
0xc51a998bf8addb379ae16586f79c699b7d162a0d,5
0x42d30b86fc815dd6e05e0dee8c3b2f7fc0035af5,205
0x10f3677c57a13fae8b3b1d4eee4228248ab081c1,95
0xf175846de880d076204156997f30e2ba24247890,180
0x38a0d16140aa1d7d7a7399506d56ee754170f473,60
0xd6bb65fffa6918a2e3154f1b67457cd720d754d1,10
0xd88fed07219ba97abaa81f6e08376f90a4b20223,110
0xa89fe21fb6657effed663cdabb810e06a4bbc398,55
