Block = 2378339,Price = 1.510000
Address,XP
0x04672345b74370a30963efd91f466eda618dadbd,690
0xe15e9e17e8c17c1b14fe506dadb8e879f6bb9b84,35
0x38759b9ad3c493380909239bc4dce9521217e5d4,235
0xf0596a979c6c7fd02a218b7d71b3351fcf9c2189,5
0x0d95918633826b963920a10c6ed9db4b2a7420e3,425
0x3708dacc7195375d20aa2ccbc2b6846c0c128a77,10
0x551ccfb52b9bf9e6ab8fe3c8bb327fc93114a7ea,30
0xc0190dfac63dc7cbda1446295b66f5c09a96c7a4,130
0x1ef83422fe1ce221277536da041601a4a6a3fde5,115
0x0cb63719d7fbb807f82423ca42cc3506a5aedc10,70
0x347240187958635055a3cdbba56d68589aec7f51,355
0xd88fed07219ba97abaa81f6e08376f90a4b20223,60
0xa91e492b00c00b6a05186e85754133d2790ea009,80
0x11d2361ed3fbd5331757c224591238ff28d4e0ac,10
0x86338bb91bf39a95fc1a23834941dafd53b8cd06,75
0x42f6ee50d594ed404772cf55d801874e1ed7b88c,35
0xbdac6532be38db1d48640d46c3011df6d4c099ec,10
0x5f64e6ae87c8a35d57f045129f1c90b2aad4d9a6,280
0xebf6fe7679b2050e24cab1bdfc61b9e74ab9e09d,15
0xf37083d4d2efe0b370db1770e37e0bd7b090a00c,50
0x773359dff2ba7b688af65fcbdb82515d32aef2fe,10
0x8739e30c9937b93861362bae998036d7e2d3f372,35
0x6bd46edb7ebb742dd6fa514491b80241d2d83a57,15
0x497c962a39f7f028ff69f5564eb4f3067f1a3a3c,35
0xc82b06dca873ef34dbbde6ce303a92a0a4c0e963,355
0xe33a5f352ff0ade0a2bc14c1985f790cc38864b1,5
0x63eb09403356e72037074d36882db0f156c8a4b3,55
0x078ca0b8b10891887c4c8f1bc064f766565a9787,25
0xec15fbebd5dc1438eb54fb7c0e28bf2cbd79cf87,40
0xd47248d5cc7bd078d111b9bae350587621a5aab6,15
0x2c2fa8a0b0aa01169d1f7e2dc70829572c263d58,45
0x52125738a4ac48f5a620756e6c63dee6aa021562,55
0x1108d0d1eb4b6822c980455e518c297cbb5e5eda,10
0xe31538493b100c50546459bbe8f9ff464440b08a,5
0xc6ff1e80683cac1a497228871953ccab90fa3bdf,125
0x5f9cf8966df23ec46a76ab2fcea7b14101a47570,170
0xd9dc13f3286c15eba48ff55e9f39020a6b1a8591,35
0x34918dd502b5895580778d870589f971934395d8,80
0xa16e3aadd14dc380d3f8e3c32b6314d08df8e989,15
0x1360b179e399ddaa05d42d642f669598a32cce89,5
0x0bddf4e169c35b77186c6ce1c987408689c4634d,15
0x1b8f703fb1f6c4347bcc9e0dece70dc23e1735af,5
0x3b26bf463dd8b139107999f5efa4a778cbdc6ce8,35
0x168684114d10f4b52f4c5ad85e0824b0968b2b14,2000
0xc85c9c0d796f7332d997f88afc185b14d8bcc5d2,5
0x5cc84b2910eb23551abb9da058af67a9c2abb440,10
0xd6bb65fffa6918a2e3154f1b67457cd720d754d1,5
0x5b977ce6ae6de2947d32ebd3ec1ee7f57e30a82f,165
0x8011680d8e3b2fbdd7a552006eab30569b20d0bb,15
0x10f3677c57a13fae8b3b1d4eee4228248ab081c1,35
0xfbd08fd2b2c7148b4e38624158c3155b5b49f886,395
0xd652e226630103aabc9c48eb2881fa37c99d2c53,20
0x22723cc5ae5a1b4514ca41f2466e2ade15cf529b,15
0xa6a4231b9748e179fb9909dc2e4402f5f2b20f42,5
0x59b56456ca2272907505ba3c65403bfbb05c8b9d,15
0x0a02c91391298935dbd956c91f14b8272275efeb,25
0xf614ddc260c8e72efd5aec92e3a4e3ecc4c2a116,10
0x1f452f2beea8c1105cd5363b18a0995367a87d97,5
0x21bda4245321824aba3b4738697b82a7bc25ff08,205
0x91857e7b0d44cc965156d915a275d3bc3db9539b,20
0x3893253505f608f7f64c083513c5a50bf0da17c1,75
0xbe9911638aa84608c900209f0caafa006887c961,5
0xe6ac681a1cbb4c30b4404c1a48affbe17ed76dce,40
0x80d73c92fb38c2eb29cc211ef3cf96f3f1d94c73,280
0x71f9bdfe92bb66b90e2005e56e8edc7ba4d721d2,5
0xae69116e4aa49645f78c1fc9f28f677aede0d153,45
0xcb387413520cdc8ca9bd80dbc4d20b2ec1b0881d,75
0xc99f3964b77af2a985978970c1d1fea015d2420f,795
0x486cf0d01285fbaca51e1a4b4b4d85f08edf635f,30
0x59fe8ddfd894f0d8b041f18c49848d861005013f,45
0xd39ec0556b27bea894718c981470a15724278585,145
0x4c38705a7b26f1d90debca268d99c79520d793cd,375
0x2d656a133e3f075a1d1e2c9b759bcf651fb2414a,20
0x634ceaa5abf564a6eaddb1e9966a7f2932f27319,40
0x56ddcbc09713d2ba8dff06ec008cbecf4b702bfb,15
0xaae7bf761972203f883005d9f23fe91b641fcf5d,990
0xbf6aaea39ca76912b23ba556a5c038b5294af3ce,240
0x42d30b86fc815dd6e05e0dee8c3b2f7fc0035af5,115
0xf175846de880d076204156997f30e2ba24247890,740
